@relation dataset

@attribute rural/urban {0, 1, 2}
@attribute totalnumberofgood real
@attribute totalnumberoflivable real
@attribute totalnumberofdilapidated real
@attribute totalnumberofresidencehouseholds real
@attribute totalnumberofresidencegood real
@attribute totalnumberofresidencelivable real
@attribute totalnumberofresidencedilapidated real
@attribute totalnumberofresidencecumother real
@attribute numberofresidencecumgood real
@attribute residence_cum_livable real
@attribute residence_cum_dilapidated real
@attribute material_roof_gtbw real
@attribute material_roof_pp real
@attribute material_roof_hmt real
@attribute material_roof_mmt real
@attribute material_roof_bb real
@attribute material_roof_ss real
@attribute material_roof_gmas real
@attribute material_roof_concrete real
@attribute material_roof_aom real
@attribute material_roof_gtb real
@attribute material_roof_pp1 real
@attribute material_roof_mub real
@attribute material_roof_wood real
@attribute material_wall_snpwm real
@attribute material_wall_spwm real
@attribute material_wall_gimas real
@attribute material_wall_bb real
@attribute material_wall_concrete real
@attribute material_wall_aom real
@attribute material_floor_mud real
@attribute material_floor_wb real
@attribute material_floor_bb real
@attribute material_floor_stone real
@attribute material_floor_cement real
@attribute material_floor_mf real
@attribute material_floor_aom real
@attribute dwelling_r_ner real
@attribute dwelling_r_or real
@attribute dwelling_r_tr real
@attribute dwelling_r_th_r real
@attribute dwelling_r_fr real
@attribute dwelling_r_fi_r real
@attribute dwelling_r_sra real
@attribute h_size_1 real
@attribute h_size_2 real
@attribute h_size_3 real
@attribute h_size_4 real
@attribute h_size_5 real
@attribute h_size_6_8 real
@attribute h_size_9 real
@attribute o_status_o real
@attribute o_status_r real
@attribute o_status_ao real
@attribute married_c_n real
@attribute married_c_1 real
@attribute married_c_2 real
@attribute married_c_3 real
@attribute married_c_4 real
@attribute married_c_5 real
@attribute dw_tfts real
@attribute dw_tfus real
@attribute dw_cw real
@attribute dw_uw real
@attribute dw_handpump real
@attribute dw_tb real
@attribute dw_spring real
@attribute dw_rc real
@attribute dw_tpl real
@attribute dw_os real
@attribute within_premises real
@attribute near_premises real
@attribute away real
@attribute msl_electricty real
@attribute msl_kerosene real
@attribute msl_se real
@attribute msl_oo real
@attribute msl_ao real
@attribute msl_nl real
@attribute latrine_premise real
@attribute latrine_pss real
@attribute latrine_st real
@attribute latrine_os real
@attribute pit_latrine_svi real
@attribute pit_latrine_sop real
@attribute disposed_drain real
@attribute service_latrine_nrh real
@attribute service_latrine_nsa real
@attribute h_latrine_premoses real
@attribute alternative_source real
@attribute alternative_source_open real
@attribute households_bathroom real
@attribute households_ewr real
@attribute households_no real
@attribute waste_water_cd real
@attribute waste_water_od real
@attribute waste_water_nd real
@attribute cooking_fw real
@attribute cooking_cr real
@attribute cooking_cc real
@attribute cooking_clc real
@attribute cooking_kerosene real
@attribute cooking_lpg_png real
@attribute cooking_electricity real
@attribute cooking_biogas real
@attribute cooking_ao real
@attribute cooking_nc real
@attribute cooking_ih real
@attribute has_kitchen real
@attribute dnhk real
@attribute cooking_oh real
@attribute has_kitchen1 real
@attribute dnh_kitchen real
@attribute no_cooking real
@attribute tnhab real
@attribute assets_rt real
@attribute assets_tel real
@attribute assets_cl_wi real
@attribute assets_clwi real
@attribute assets_tm_lo real
@attribute assets_tm_mo real
@attribute assets_tm_both real
@attribute assets_bicycle real
@attribute assets_smm real
@attribute assets_cjv real
@attribute household_tv_lp real
@attribute none_as real
@attribute permanents real
@attribute semi_permanent real
@attribute total_temporary real
@attribute serviceable real
@attribute non_serviceable real
@attribute unclassifiable real
@attribute contition_t_good real
@attribute contition_t_livable real
@attribute contition_t_dilapidated real
@attribute contition_r_total real
@attribute residence_good real
@attribute residence_livable real
@attribute residence_dilapidated real
@attribute residence_cum_other real
@attribute residence_cum_good real


@data
2,32.8,61.4,5.8,95.4,31.7,58.0,5.7,4.6,1.1,3.4,0.2,16.8,0.2,25.6,11.5,0.2,4.4,9.0,32.2,0.1,5.2,0.2,35.9,0.1,1.1,1.1,0.1,48.3,8.0,0.0,44.1,0.1,0.9,0.2,53.0,1.6,0.0,2.7,32.7,36.9,13.9,7.7,2.9,3.2,5.1,11.1,18.1,25.2,19.6,19.0,2.0,81.1,13.9,5.1,12.4,77.3,9.0,1.1,0.2,0.0,37.1,2.4,10.2,4.4,32.1,8.7,0.0,3.9,0.1,1.0,30.1,41.5,28.4,72.1,26.9,0.1,0.1,0.1,0.7,39.0,2.1,33.1,1.5,1.0,0.4,0.2,0.0,0.8,61.0,1.0,60.0,30.2,4.1,65.7,6.4,28.4,65.2,65.6,2.0,3.6,0.5,3.9,23.3,0.3,0.3,0.1,0.5,94.5,64.1,30.4,5.0,3.0,2.1,0.5,58.9,8.0,51.8,2.3,4.5,2.4,49.1,3.3,74.1,23.8,2.9,3.7,14.5,57.2,27.0,15.7,13.0,2.7,0.1,32.8,61.4,5.8,95.4,31.7,58.0,5.7,4.6,1.1
0,24.4,68.6,7.0,97.4,23.7,66.9,6.9,2.6,0.7,1.7,0.2,10.0,0.3,75.6,0.5,0.6,1.6,0.8,10.3,0.2,4.4,0.3,51.8,0.3,1.0,1.0,0.1,37.7,3.4,0.1,82.2,0.2,1.2,0.3,16.0,0.1,0.0,1.5,37.9,43.7,11.4,3.5,0.9,1.1,4.4,17.4,20.0,23.0,17.4,16.5,1.2,96.3,1.3,2.4,11.8,81.9,5.9,0.4,0.0,0.0,3.7,3.0,1.2,9.8,53.4,25.2,0.1,2.2,1.0,0.3,4.6,49.4,46.0,22.7,75.6,0.4,0.1,0.1,1.2,10.1,0.6,5.4,1.0,0.9,1.7,0.2,0.1,0.2,89.9,1.3,88.6,3.7,2.1,94.2,0.8,9.6,89.6,93.2,1.5,3.3,0.0,0.1,1.1,0.2,0.1,0.3,0.2,93.3,57.4,35.9,6.5,3.5,3.0,0.2,28.1,7.0,14.4,0.3,2.8,1.3,22.7,0.8,68.5,7.3,0.7,0.3,24.6,41.8,48.8,9.1,6.7,2.4,0.3,24.4,68.6,7.0,97.4,23.7,66.9,6.9,2.6,0.7
1,26.7,66.3,7.0,97.5,25.9,64.7,6.8,2.5,0.7,1.6,0.1,9.5,0.3,72.6,0.6,0.6,1.6,1.5,13.0,0.3,4.2,0.3,49.3,0.3,1.1,1.2,0.1,38.9,4.7,0.1,77.0,0.2,1.2,0.3,20.8,0.5,0.1,1.5,36.5,42.8,12.1,4.2,1.3,1.6,4.4,16.8,19.8,23.4,17.6,16.7,1.4,93.6,3.6,2.9,11.9,81.2,6.3,0.5,0.1,0.0,7.0,3.2,1.7,9.8,49.1,25.5,0.1,2.1,1.0,0.5,8.7,47.3,44.0,28.6,69.6,0.4,0.1,0.1,1.3,15.1,1.2,9.6,1.1,1.0,1.7,0.2,0.1,0.2,84.9,1.3,83.6,8.3,2.6,89.0,1.7,13.0,85.3,89.3,1.5,3.1,0.1,0.2,4.9,0.2,0.1,0.3,0.2,93.4,58.9,34.5,6.3,3.4,3.0,0.2,31.2,7.4,19.3,0.8,3.2,1.5,26.1,1.5,68.5,10.1,1.1,1.0,23.5,44.5,46.5,8.5,6.3,2.2,0.4,26.7,66.3,7.0,97.5,25.9,64.7,6.8,2.5,0.7
2,46.2,46.9,6.8,97.9,45.2,46.0,6.7,2.1,1.0,1.0,0.1,4.3,0.4,46.2,1.3,0.6,1.7,7.8,36.5,1.1,1.8,0.2,27.3,0.1,1.6,3.4,0.1,49.1,15.9,0.4,32.3,0.2,0.9,0.7,62.1,3.7,0.1,1.6,24.4,35.3,18.1,10.3,4.4,5.8,4.0,10.9,17.8,26.8,18.7,18.4,3.3,69.6,23.7,6.6,12.9,75.1,9.9,1.7,0.4,0.1,35.8,4.8,6.6,9.6,11.7,27.4,0.0,1.3,0.4,2.4,43.9,28.9,27.2,79.3,18.1,0.3,0.3,0.1,1.9,58.1,5.7,46.4,2.1,1.7,1.0,0.3,0.2,0.6,41.9,1.5,40.3,48.2,7.5,44.2,9.3,42.6,48.1,56.1,1.4,0.9,0.2,1.4,38.3,0.5,0.3,0.3,0.6,94.4,72.2,22.3,4.9,2.4,2.6,0.6,57.8,10.6,62.1,4.4,7.0,3.1,55.5,7.2,68.6,33.7,4.1,7.6,13.5,68.3,26.8,3.4,2.5,0.9,1.5,46.2,46.9,6.8,97.9,45.2,46.0,6.7,2.1,1.0
0,22.3,72.9,4.8,98.3,21.7,71.8,4.8,1.7,0.6,1.1,0.1,3.6,0.2,90.8,0.1,0.1,0.1,0.4,4.6,0.0,2.2,0.2,59.1,0.5,0.5,0.6,0.0,35.6,1.3,0.1,88.1,0.1,0.6,0.4,10.6,0.2,0.0,1.9,37.1,42.7,12.4,3.8,1.1,1.1,4.1,17.2,19.0,21.9,17.9,18.7,1.3,96.1,1.6,2.4,11.5,80.7,7.3,0.5,0.1,0.0,2.4,5.4,1.2,7.2,67.2,11.7,0.8,3.4,0.5,0.2,6.1,54.4,39.4,24.9,73.5,0.7,0.1,0.0,0.8,12.7,0.5,5.4,2.9,0.6,3.0,0.1,0.1,0.1,87.3,0.8,86.5,4.8,2.7,92.5,0.6,9.4,89.9,94.7,1.1,1.3,0.0,0.2,2.4,0.1,0.1,0.0,0.2,94.2,53.1,41.1,5.7,2.0,3.7,0.2,28.6,10.8,11.6,0.3,2.0,0.7,21.1,0.5,67.7,6.7,0.6,0.4,25.7,37.4,59.2,3.3,2.8,0.5,0.1,22.3,72.9,4.8,98.3,21.7,71.8,4.8,1.7,0.6
1,23.2,71.9,4.9,98.2,22.5,70.8,4.8,1.8,0.7,1.1,0.1,3.6,0.3,89.4,0.1,0.2,0.1,0.6,5.8,0.1,2.2,0.2,58.1,0.5,0.6,0.6,0.0,36.5,1.2,0.1,85.9,0.1,0.6,0.5,12.5,0.4,0.0,1.9,36.6,42.4,12.7,4.1,1.2,1.2,4.2,16.9,18.9,22.0,18.0,18.7,1.4,95.1,2.4,2.5,11.7,80.2,7.4,0.6,0.1,0.0,2.9,7.2,1.2,7.1,64.9,12.1,0.7,3.2,0.5,0.2,7.4,54.0,38.6,27.5,70.9,0.7,0.1,0.0,0.8,14.5,0.6,7.2,2.9,0.6,2.8,0.1,0.1,0.2,85.5,0.8,84.7,6.6,3.1,90.3,1.0,11.1,87.9,92.9,1.1,1.4,0.0,0.2,4.0,0.1,0.1,0.0,0.2,94.2,54.0,40.2,5.6,2.1,3.6,0.2,29.7,10.6,13.7,0.5,2.2,0.8,22.7,0.7,67.3,7.8,0.8,0.6,25.4,38.3,58.2,3.2,2.8,0.5,0.2,23.2,71.9,4.9,98.2,22.5,70.8,4.8,1.8,0.7
2,40.9,52.7,6.5,97.1,39.3,51.3,6.4,2.9,1.6,1.3,0.0,2.3,0.4,62.2,0.6,0.2,0.6,3.6,28.4,1.7,1.6,0.2,40.3,0.1,1.6,1.3,0.0,54.4,0.4,0.1,43.5,0.1,0.6,2.7,48.7,4.3,0.1,2.3,26.8,38.3,18.0,8.3,2.8,3.6,5.7,12.2,17.1,23.6,18.7,19.6,3.1,76.9,18.5,4.6,16.4,72.3,9.3,1.7,0.2,0.1,12.4,40.7,0.9,4.8,21.4,19.6,0.0,0.0,0.1,0.1,30.9,46.4,22.8,76.3,21.7,0.2,0.0,0.3,1.5,48.4,2.7,41.2,2.5,0.7,0.4,0.2,0.0,0.9,51.6,0.5,51.0,40.7,11.3,48.1,8.2,42.0,49.8,58.7,1.8,2.1,0.3,1.4,34.7,0.2,0.4,0.0,0.4,94.6,70.7,23.9,5.0,3.5,1.5,0.4,50.2,6.7,54.6,2.9,5.0,1.6,52.1,3.0,59.4,28.0,4.9,5.2,19.1,56.3,40.1,1.9,1.6,0.3,1.7,40.9,52.7,6.5,97.1,39.3,51.3,6.4,2.9,1.6
0,20.2,70.3,9.4,98.4,19.9,69.2,9.3,1.6,0.4,1.1,0.1,5.0,0.3,88.8,0.2,0.4,0.2,1.2,3.9,0.0,7.4,0.3,42.3,1.0,0.6,0.7,0.1,46.1,1.5,0.1,87.2,0.2,0.7,0.1,11.5,0.3,0.0,1.7,32.0,47.4,13.6,3.5,0.9,0.9,4.9,19.1,20.1,21.7,16.9,16.3,0.9,96.0,1.3,2.6,12.4,82.0,5.4,0.2,0.0,0.0,2.0,1.3,1.6,6.4,67.7,16.1,1.6,2.8,0.4,0.1,6.0,53.1,40.9,18.6,79.6,0.9,0.0,0.1,0.8,8.2,0.6,4.7,0.8,0.8,1.0,0.2,0.1,0.2,91.8,0.8,91.0,4.3,3.2,92.5,0.6,9.2,90.2,92.9,1.7,3.0,0.1,0.1,1.9,0.1,0.1,0.1,0.2,95.4,50.9,44.4,4.4,2.1,2.3,0.2,25.2,8.9,11.0,0.3,2.4,0.8,19.0,0.6,55.3,6.6,0.6,0.3,35.7,47.2,49.1,3.6,2.2,1.4,0.1,20.2,70.3,9.4,98.4,19.9,69.2,9.3,1.6,0.4
1,21.9,68.8,9.3,98.4,21.5,67.7,9.2,1.6,0.4,1.1,0.1,4.9,0.3,86.6,0.2,0.4,0.3,1.9,5.4,0.1,7.3,0.3,41.4,1.0,0.6,0.8,0.1,46.8,1.7,0.1,83.8,0.2,0.7,0.2,14.4,0.7,0.1,1.6,31.0,46.8,14.3,4.1,1.1,1.2,4.9,18.5,19.9,22.0,17.0,16.5,1.1,94.4,2.7,2.9,12.4,81.6,5.6,0.3,0.0,0.0,3.2,1.5,1.8,6.7,64.5,17.6,1.5,2.6,0.4,0.2,8.5,51.5,40.0,22.5,75.6,0.8,0.0,0.1,0.9,11.7,0.9,6.9,0.9,1.2,1.1,0.3,0.2,0.2,88.3,0.8,87.5,7.2,3.6,89.2,1.1,11.5,87.4,90.1,1.6,2.8,0.2,0.2,4.4,0.3,0.1,0.1,0.2,95.3,52.1,43.3,4.4,2.1,2.3,0.2,27.7,9.0,14.5,0.5,2.6,0.9,21.8,0.9,56.0,8.4,0.9,0.7,34.2,48.4,48.1,3.5,2.1,1.3,0.1,21.9,68.8,9.3,98.4,21.5,67.7,9.2,1.6,0.4
2,45.3,47.8,6.9,98.3,44.3,47.1,6.9,1.7,1.0,0.7,0.0,2.6,0.4,57.5,0.5,0.4,1.1,10.7,26.4,0.4,6.0,0.3,28.5,0.3,1.0,2.0,0.0,56.8,4.9,0.1,37.8,0.2,1.2,0.6,54.1,5.8,0.1,1.0,17.6,37.9,23.2,11.2,4.4,4.8,4.4,10.5,17.5,26.1,19.0,19.3,3.2,71.8,21.4,6.8,13.2,76.5,8.5,1.4,0.3,0.1,20.0,4.1,4.5,10.8,20.5,38.4,0.0,0.2,0.2,1.3,42.7,29.9,27.4,75.6,21.8,0.3,0.1,0.1,2.0,58.8,5.8,37.8,3.2,6.8,2.5,0.9,0.9,1.0,41.2,0.5,40.6,46.4,9.6,44.0,6.9,42.5,50.6,52.8,1.1,0.3,2.5,1.1,38.1,3.3,0.2,0.2,0.4,94.8,67.5,27.3,4.7,2.5,2.3,0.4,60.4,9.6,62.1,3.5,6.3,2.3,58.8,5.1,66.5,33.2,4.3,6.5,14.4,63.4,34.2,1.9,1.2,0.7,0.5,45.3,47.8,6.9,98.3,44.3,47.1,6.9,1.7,1.0
0,24.6,69.7,5.7,98.8,24.1,69.0,5.6,1.2,0.5,0.7,0.0,34.8,0.5,21.3,8.5,0.2,0.7,25.7,8.2,0.2,7.4,0.4,56.1,3.9,0.8,0.8,0.1,30.0,0.4,0.1,75.0,0.3,0.6,0.2,23.6,0.2,0.0,1.7,16.9,40.9,33.6,5.1,1.0,0.7,6.4,14.5,16.2,19.5,17.6,23.3,2.6,94.4,3.4,2.1,18.5,73.6,7.3,0.6,0.0,0.0,6.6,4.0,1.5,5.9,47.6,24.4,7.1,2.2,0.3,0.4,4.7,59.6,35.7,17.5,81.0,0.4,0.1,0.1,0.8,6.6,0.4,4.0,0.7,0.5,0.6,0.2,0.0,0.2,93.4,1.6,91.8,4.2,4.2,91.6,0.9,15.7,83.5,94.6,0.8,0.1,0.7,0.2,3.3,0.1,0.0,0.0,0.2,91.4,69.0,22.4,8.4,4.8,3.7,0.2,41.4,5.1,10.3,0.3,2.8,1.1,14.8,1.2,31.8,4.8,0.5,0.3,56.6,30.3,35.9,33.6,27.6,6.0,0.2,24.6,69.7,5.7,98.8,24.1,69.0,5.6,1.2,0.5
1,29.9,64.6,5.5,98.6,29.3,63.9,5.4,1.4,0.7,0.7,0.1,31.8,0.6,18.5,7.5,0.2,0.8,27.0,13.5,0.2,7.1,0.3,50.4,3.5,0.8,1.0,0.1,35.5,1.1,0.1,66.7,0.3,0.5,0.4,30.6,1.4,0.1,1.7,16.8,39.4,33.1,6.5,1.5,1.0,6.2,13.9,16.3,20.9,17.8,22.3,2.6,89.2,7.8,3.0,18.0,73.6,7.5,0.7,0.1,0.0,13.8,4.8,1.6,5.7,41.9,23.5,6.1,2.0,0.3,0.4,11.7,55.3,32.9,27.2,71.3,0.4,0.1,0.2,0.9,14.8,1.7,10.5,0.9,0.6,0.6,0.2,0.0,0.3,85.2,1.5,83.7,12.3,4.9,82.8,3.0,21.2,75.8,86.0,0.8,0.1,1.3,0.5,11.0,0.1,0.1,0.0,0.2,91.5,70.2,21.3,8.3,4.7,3.6,0.2,45.0,5.2,19.0,0.7,3.4,1.3,21.5,2.3,35.7,8.6,0.9,1.1,50.4,36.7,32.4,30.6,25.0,5.6,0.2,29.9,64.6,5.5,98.6,29.3,63.9,5.4,1.4,0.7
2,59.9,35.8,4.3,97.4,58.2,35.0,4.2,2.6,1.7,0.8,0.1,14.7,1.4,3.2,1.7,0.1,1.8,34.1,42.9,0.1,5.4,0.3,18.0,1.3,0.9,2.3,0.3,66.3,5.1,0.1,20.5,0.2,0.4,1.3,69.8,7.8,0.1,1.8,16.0,31.0,30.2,14.0,4.1,2.9,5.1,10.5,16.9,28.6,19.3,16.9,2.7,59.7,32.5,7.8,15.4,74.0,8.9,1.4,0.2,0.1,53.9,9.4,2.1,4.3,10.4,18.4,0.2,0.5,0.0,0.8,50.8,31.4,17.8,81.4,17.0,0.1,0.1,0.4,1.0,60.5,8.8,46.4,2.0,1.1,1.2,0.2,0.2,0.7,39.5,1.1,38.4,57.2,8.9,33.9,15.0,51.9,33.1,38.0,0.8,0.1,4.5,1.7,54.1,0.1,0.2,0.1,0.5,92.2,77.0,15.2,7.4,4.4,3.0,0.5,65.4,5.6,67.7,3.1,6.5,2.7,59.0,8.1,57.3,29.6,3.2,5.7,15.9,72.6,13.3,13.9,10.1,3.8,0.2,59.9,35.8,4.3,97.4,58.2,35.0,4.2,2.6,1.7
0,26.4,69.3,4.4,97.2,25.6,67.4,4.2,2.8,0.7,1.9,0.1,34.0,0.3,46.3,5.7,0.2,0.6,11.5,1.3,0.1,3.4,0.5,74.0,1.6,0.9,1.0,0.3,18.0,0.3,0.1,89.7,0.1,0.5,0.2,9.4,0.1,0.0,1.8,22.6,51.0,16.9,5.2,1.3,1.3,4.3,14.7,16.0,18.7,18.1,25.3,3.0,95.3,1.3,3.4,12.4,74.9,11.6,1.0,0.1,0.0,2.1,1.7,0.8,7.0,65.6,19.7,1.6,0.9,0.4,0.2,5.0,60.4,34.6,8.5,90.2,0.6,0.2,0.2,0.3,5.8,0.2,2.7,0.4,0.4,1.7,0.3,0.1,0.0,94.2,1.5,92.7,2.4,5.1,92.5,0.4,9.4,90.2,89.6,6.0,2.4,0.2,0.1,0.8,0.1,0.0,0.6,0.2,86.3,61.3,25.0,13.6,10.2,3.3,0.2,21.9,17.7,5.2,0.3,2.1,1.4,15.7,0.4,61.4,6.0,0.5,0.1,30.7,18.9,48.2,32.8,30.9,1.9,0.1,26.4,69.3,4.4,97.2,25.6,67.4,4.2,2.8,0.7
1,27.7,67.9,4.4,97.2,26.9,66.1,4.3,2.8,0.8,1.9,0.1,32.8,0.3,44.4,5.8,0.2,0.7,12.9,2.7,0.1,3.6,0.5,71.1,1.5,1.0,1.2,0.3,20.4,0.4,0.1,86.0,0.1,0.5,0.2,12.9,0.3,0.0,1.8,22.3,49.8,17.4,5.6,1.5,1.6,4.4,14.5,16.0,19.2,18.0,24.8,3.0,93.2,2.9,3.9,12.9,74.6,11.4,1.0,0.1,0.0,3.7,1.9,1.1,7.9,62.6,19.7,1.5,0.9,0.4,0.3,7.4,58.6,34.0,12.6,86.1,0.6,0.2,0.2,0.4,9.3,0.6,5.5,0.5,0.5,1.7,0.3,0.1,0.1,90.7,1.6,89.1,5.6,5.6,88.8,0.8,11.9,87.3,86.6,5.8,2.3,0.6,0.2,3.4,0.3,0.1,0.6,0.2,86.7,62.5,24.1,13.1,9.8,3.3,0.2,24.1,17.2,8.6,0.5,2.5,1.5,18.5,0.7,60.7,7.7,0.7,0.4,30.0,21.7,46.4,31.6,29.5,2.1,0.2,27.7,67.9,4.4,97.2,26.9,66.1,4.3,2.8,0.8
2,43.7,51.4,4.9,97.1,42.5,49.7,4.8,2.9,1.2,1.7,0.1,17.5,0.5,19.9,7.3,0.3,2.4,30.1,21.1,1.0,5.4,0.4,34.5,0.1,2.0,3.7,0.4,51.0,2.2,0.2,39.3,0.2,0.3,0.3,56.4,3.5,0.1,2.0,18.4,36.0,23.3,10.8,4.2,5.4,6.1,11.6,16.7,24.8,17.6,19.7,3.4,67.4,23.5,9.1,18.8,70.7,8.7,1.5,0.3,0.1,23.7,5.2,4.4,19.4,25.6,19.7,0.8,0.2,0.1,1.0,37.2,36.1,26.6,64.6,33.7,0.2,0.1,0.2,1.2,53.4,5.3,41.6,1.5,1.9,1.7,0.6,0.1,0.6,46.6,2.6,44.0,45.6,11.5,42.8,6.5,43.0,50.5,49.3,2.4,2.0,5.3,1.5,36.2,2.5,0.1,0.1,0.5,91.9,78.0,13.9,7.6,4.7,2.9,0.5,51.4,10.1,52.1,2.5,7.3,2.7,53.1,4.7,51.8,29.6,4.0,4.4,21.8,57.7,24.5,16.7,12.7,4.0,1.1,43.7,51.4,4.9,97.1,42.5,49.7,4.8,2.9,1.2
0,28.9,65.7,5.3,98.1,28.2,64.7,5.3,1.9,0.7,1.1,0.1,37.2,0.1,4.8,22.7,0.2,0.6,31.5,2.7,0.1,3.8,0.2,66.8,0.2,1.5,1.3,0.3,25.5,0.4,0.1,74.3,0.1,0.6,0.2,24.7,0.2,0.0,1.7,34.2,45.1,14.2,3.1,0.8,1.0,7.4,17.8,16.4,18.8,17.4,20.6,1.6,94.6,2.6,2.8,16.0,75.4,8.0,0.5,0.0,0.0,4.7,4.1,1.3,9.1,44.4,22.2,10.8,2.5,0.6,0.2,5.6,55.6,38.8,14.9,83.7,0.5,0.1,0.0,0.8,8.2,1.0,4.3,1.4,0.6,0.6,0.1,0.0,0.1,91.8,1.3,90.5,5.7,7.1,87.3,1.5,14.7,83.8,91.2,3.1,0.6,0.7,0.3,2.8,0.4,0.1,0.5,0.2,86.2,62.3,23.9,13.5,10.0,3.6,0.2,30.2,10.0,8.1,0.3,3.1,1.2,14.9,1.0,29.8,5.4,1.1,0.3,55.8,27.8,35.9,36.1,33.8,2.3,0.2,28.9,65.7,5.3,98.1,28.2,64.7,5.3,1.9,0.7
1,33.2,61.4,5.4,98.1,32.5,60.4,5.3,1.9,0.8,1.0,0.1,32.6,0.3,4.4,20.0,0.2,0.8,32.3,9.2,0.2,3.5,0.2,59.3,0.2,1.5,1.5,0.3,32.4,1.1,0.1,65.3,0.1,0.5,0.2,32.7,1.1,0.0,1.6,31.9,43.8,15.6,4.4,1.4,1.4,7.3,16.8,16.6,20.2,17.4,19.9,1.8,87.1,9.0,3.9,16.2,75.1,8.0,0.6,0.1,0.0,11.8,3.9,2.0,10.2,38.2,21.9,9.2,2.2,0.5,0.2,13.7,51.0,35.3,25.4,73.2,0.5,0.1,0.1,0.8,17.4,3.3,10.8,1.4,0.7,0.6,0.2,0.1,0.2,82.6,1.3,81.4,14.6,7.4,77.9,4.9,20.1,75.0,81.4,2.8,0.6,1.5,0.7,11.7,0.5,0.1,0.4,0.2,87.4,64.8,22.6,12.4,9.0,3.4,0.2,36.0,10.7,17.7,1.2,3.9,1.4,21.5,2.9,33.3,11.0,2.0,2.0,49.5,35.5,32.4,31.8,29.6,2.2,0.3,33.2,61.4,5.4,98.1,32.5,60.4,5.3,1.9,0.8
2,55.5,38.9,5.6,98.0,54.4,38.1,5.5,2.0,1.1,0.8,0.1,9.0,1.1,2.6,6.1,0.2,1.6,36.0,42.9,0.5,2.2,0.2,20.5,0.0,1.4,2.4,0.3,68.3,4.5,0.1,18.7,0.1,0.3,0.7,74.4,5.8,0.1,1.2,20.2,36.9,23.1,10.7,4.3,3.6,6.5,11.7,17.9,27.4,17.7,16.1,2.6,47.9,42.1,10.0,17.2,73.7,7.7,1.2,0.2,0.0,48.4,3.2,5.5,15.7,5.7,20.4,0.7,0.2,0.1,0.3,55.6,27.1,17.3,79.4,19.2,0.2,0.1,0.2,1.0,64.9,15.5,44.6,1.4,1.7,0.2,0.7,0.2,0.6,35.1,1.0,34.1,60.9,9.5,29.6,22.3,48.1,29.6,30.6,1.0,0.5,5.6,2.7,57.9,0.9,0.2,0.3,0.4,93.3,77.8,15.5,6.3,3.9,2.4,0.4,65.9,14.4,67.7,6.0,8.2,2.5,56.1,13.1,51.3,40.1,6.8,10.5,16.4,75.7,14.4,9.2,7.7,1.5,0.7,55.5,38.9,5.6,98.0,54.4,38.1,5.5,2.0,1.1
0,25.2,67.3,7.4,98.0,24.7,66.0,7.3,2.0,0.5,1.4,0.1,29.9,0.1,11.9,26.9,0.1,0.5,28.3,1.9,0.4,14.1,0.2,64.7,1.0,0.6,1.0,0.0,17.7,0.4,0.1,86.4,0.1,0.5,0.1,12.8,0.1,0.0,1.6,48.1,39.5,8.0,1.8,0.4,0.5,4.4,12.6,15.8,20.1,19.8,25.3,2.0,96.4,2.0,1.5,13.5,76.7,9.1,0.6,0.0,0.0,1.2,2.8,0.7,3.8,70.8,10.8,7.7,1.3,0.7,0.3,3.4,58.5,38.1,13.4,85.0,0.8,0.1,0.1,0.6,6.0,0.3,4.1,0.4,0.3,0.4,0.1,0.2,0.1,94.0,1.3,92.7,3.0,4.2,92.9,0.2,6.8,93.0,94.9,1.0,1.6,0.8,0.1,1.3,0.0,0.0,0.0,0.2,82.0,47.9,34.0,17.8,12.3,5.5,0.2,27.4,14.4,8.3,0.2,2.4,0.5,15.0,0.5,44.7,6.1,0.4,0.2,44.2,19.4,50.5,29.6,21.3,8.3,0.5,25.2,67.3,7.4,98.0,24.7,66.0,7.3,2.0,0.5
1,26.9,65.6,7.5,97.9,26.3,64.2,7.4,2.1,0.7,1.4,0.1,28.7,0.2,11.3,25.2,0.1,0.6,30.5,3.2,0.4,14.1,0.2,62.0,0.9,0.7,1.4,0.1,20.0,0.4,0.1,82.6,0.1,0.5,0.1,16.4,0.2,0.0,1.6,46.9,39.6,8.6,2.2,0.5,0.7,4.6,12.5,15.9,20.4,19.6,24.9,2.1,93.7,4.3,2.0,14.0,76.3,9.0,0.6,0.0,0.0,3.3,3.0,0.7,4.2,67.8,11.6,7.1,1.3,0.7,0.4,5.7,57.3,37.0,17.9,80.5,0.7,0.1,0.1,0.6,9.3,0.8,6.9,0.5,0.4,0.4,0.1,0.2,0.1,90.7,1.3,89.4,5.8,4.8,89.4,0.6,9.0,90.4,91.2,0.9,1.7,1.9,0.2,3.4,0.3,0.0,0.0,0.2,82.3,49.6,32.7,17.4,11.8,5.7,0.2,29.6,13.7,11.9,0.3,2.5,0.6,18.3,0.7,45.1,7.7,0.6,0.4,42.7,22.2,48.9,28.4,20.2,8.2,0.5,26.9,65.6,7.5,97.9,26.3,64.2,7.4,2.1,0.7
